model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.61196005,35.72495541,35.83795076,38.00138535
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.34555518,18.40376491,18.46197463,19.57647124
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.405749086,6.952787023,11.49982496,15.58636245
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.68309379,76.94044647,95.19779914,136.8849361
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.80920828,60.04290829,104.2766083,204.914824
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.34399513,87.12771492,137.9114347,233.3370143
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.233909866,2.2842304,2.334550933,2.475481095
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.233909866,2.2842304,2.334550933,2.475481095
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,1.858994261,3.717988522,7.976550196
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,294.8761023,232.6923926,170.5086829,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0.08591961,0.042959805,0,0
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,16.55842728,9.534683253,2.510939225,0.302558801
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,8.02832838,4.62287673,1.217425079,0.146695176
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.501770524,0.288929796,0.076089067,0.009168449
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,1.599599713,3.199199426,14.6695176
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.17183922,6.09522664,12.01861406,25.21323338
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.890231425,1.723299357,1.556367288,1.65032073
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,5.865,8.73,49
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Export,TWh/year,57.7,57.7,89.9089705,80.92,87.63,94.34,63.78
remind,SSP2-NPi,M0_ref,FR,Production|Electricity|Total (w/o export correction),TWh/year,533.879078,495.1194395,536.876415,574.7,635.85,697,767
remind,SSP2-NPi,M0_ref,FR,Transformation|Electricity|High to medium,TWh/year,475.8168472,438.1758221,443.6468981,494.8897686,552.3617007,609.8336327,750.5696793
remind,SSP2-NPi,M0_ref,FR,Transformation|Electricity|Medium to low,TWh/year,477.779078,440.1194395,447.3058845,496.78,554.085,611.39,752.22
remind,SSP2-NPi,M0_ref,FR,Compensation for losses|Electricity|High,ratio,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434,0.969743434
remind,SSP2-NPi,M0_ref,FR,Compensation for losses|Electricity|Medium,ratio,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607,0.995814607
remind,SSP2-NPi,M0_ref,FR,Compensation for losses|Electricity|Low,ratio,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159,0.970138159
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Run-of-river hydro,TWh/year,35.40934675,35.95692224,39.83682768,35.69405908,35.62012222,35.54618536,38.0174135
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Reservoir,TWh/year,12.75450022,16.25570932,16.72498608,18.38784862,18.34975994,18.31167125,19.58472817
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Pumped storage hydro,TWh/year,4.905577006,4.947389793,5.386869496,2.411295248,6.737226844,11.06315844,14.23976389
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.23619282,35.07345978,35.6593363,58.81838051,76.27753204,93.73668356,133.4863028
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,0,3.320059183,15.84565449,59.67954135,103.5134282,197.7949139
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.34630787,11.04328079,20.39896304,36.42778178,62.59516605,88.76255031,140.56025
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Biomass,TWh/year,2.319000039,2.208656158,2.632739331,2.239059873,2.277302332,2.315544791,2.480475
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Biogas,TWh/year,2.319000039,2.562041143,2.465499643,2.239059873,2.277302332,2.315544791,2.480475
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Renewable|Wave,TWh/year,0,0,0,0,0.600326427,1.200652854,7.992641667
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,256.0684141,208.2275093,83.69306389
